url,status,last_check_time,last_success_time,success_streak,failure_streak,node_count
http://221.14.237.62:3003/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.129.223.27:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.129.223.205:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.50.255:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.85.20:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://182.141.51.223:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://222.208.72.95:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.85.23:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://61.188.85.131:8002/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://60.27.20.206:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://67.198.228.238:12580/clash/proxies,active,2025-09-01T15:14:16.960459+00:00,2025-09-01T15:14:16.960459+00:00,7,0,292
http://138.2.112.136:12580/clash/proxies,active,2025-09-01T15:14:16.960459+00:00,2025-09-01T15:14:16.960459+00:00,24,0,52
http://125.121.235.222:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://168.138.213.241:12580/clash/proxies,active,2025-09-01T15:14:16.960459+00:00,2025-09-01T15:14:16.960459+00:00,7,0,1
http://140.238.31.152:12580/clash/proxies,active,2025-09-01T15:14:16.960459+00:00,2025-09-01T15:14:16.960459+00:00,15,0,101
http://155.248.172.106:12580/clash/proxies,active,2025-09-01T15:14:16.960459+00:00,2025-09-01T15:14:16.960459+00:00,7,0,294
https://clash.huiwg.cn/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://125.121.36.186:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://165.154.105.225:12580/clash/proxies,active,2025-09-01T15:14:16.960459+00:00,2025-09-01T15:14:16.960459+00:00,24,0,401
http://152.67.235.12:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://165.154.23.194:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://175.178.182.178:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
http://139.28.232.96:12580/clash/proxies,dead,2025-08-31T18:18:27.500600+00:00,,0,89,0
